"komentar","label","preprocessedKomentar"
"Bukan cuma sekali dua kali, tapi tiap hari ada aja kasus yang bikin naik darah!","negatif","bukan cuma kali kali tiap hari aja kasus bikin naik darah"
"Kenapa kalau rakyat yang salah langsung dihukum, tapi kalau oknum polisi yang salah malah dilindungi?","negatif","kalau rakyat salah langsung hukum kalau oknum polisi salah malah lindung"
"Lapor kehilangan malah dipersulit, padahal itu kerjaan mereka!","negatif","lapor hilang malah sulit padahal kerja"
"Aneh, kalau ada orang kaya yang kena kasus, tiba-tiba hukum bisa lunak banget!","negatif","aneh kalau orang kaya kena kasus tiba hukum lunak banget"
"Mereka sok paling benar, tapi kerjaannya malah banyak merugikan rakyat!","negatif","sok paling benar kerja malah banyak rugi rakyat"
"Setiap ada kasus besar, rakyat selalu dibiarkan menunggu keadilan yang nggak pernah datang!","negatif","kasus besar rakyat selalu biar tunggu adil pernah datang"
"Kerja kalian tuh harusnya ngelindungin rakyat, bukan malah nambahin masalah!","negatif","kerja kalian itu harus lindung rakyat bukan malah tambah masalah"
"Jangan mentang-mentang berseragam, jadi merasa bisa ngatur segalanya seenaknya!","negatif","jangan mentang seragam jadi rasa atur segala enak"
"Dulu percaya sama hukum, sekarang cuma bisa pasrah karena sistemnya udah rusak!","negatif","dulu percaya sama hukum sekarang cuma pasrah sistem udah rusak"
"Percuma ada hukum kalau ujung-ujungnya bisa dibeli sama yang punya duit!","negatif","cuma hukum kalau ujung ujung beli sama punya duit"
"Bukannya bantu rakyat, malah bikin ribet setiap ada masalah!","negatif","bukan bantu rakyat malah bikin ribat masalah"
"Mereka seharusnya jadi harapan, tapi justru bikin ketakutan!","negatif","jadi harap justru bikin takut"
"Lihat berita soal mereka tiap hari bikin makin hilang harapan sama keadilan!","negatif","lihat berita soal tiap hari bikin makin hilang harap sama adil"
"Beneran deh, kalau nggak viral dulu, polisi nggak bakal peduli sama kasus rakyat kecil!","negatif","benar deh kalau viral dulu polisi bakal peduli sama kasus rakyat kecil"
"Sumpah jabatan mereka cuma formalitas doang, buktinya kelakuan tetap seenaknya!","negatif","sumpah jabat cuma formalitas doang bukti laku tetap enak"
"Harusnya yang berseragam itu bikin tenang, bukan malah bikin curiga!","negatif","harus seragam bikin tenang bukan malah bikin curiga"
"Seragam bukan buat gaya-gayaan, tapi buat benerin sistem hukum yang udah bobrok ini!","negatif","ragam bukan buat gaya gaya buat benar sistem hukum udah bobrok"
"Paling jago kalau urusan ngasih alasan, tapi kalau kerja bener malah nggak kelihatan!","negatif","paling jago kalau urus asih alas kalau kerja benar malah lihat"
"Setiap ada kasus gede, ujung-ujungnya rakyat disuruh ?abar? tapi nggak ada hasilnya!","negatif","kasus gede ujung ujung rakyat suruh abar hasil"
"Banyak yang berbuat salah, tapi hanya beberapa yang kena hukuman! Keadilan apa ini?","negatif","banyak buat salah beberapa kena hukum adil apa"
"Kalau kasusnya melibatkan pejabat, pasti deh tiba-tiba jadi lambat prosesnya!","negatif","kalau kasus libat jabat deh tiba jadi lambat proses"
"Sumpah, heran banget! Gimana sih bisa mereka tetap santai setelah bikin rakyat sengsara?","negatif","sumpah heran banget gimana sih tetap santai bikin rakyat sengsara"
"Kalau rakyat melawan, dibilang melanggar hukum. Kalau mereka yang melanggar, cuma dikasih sanksi ringan!","negatif","kalau rakyat lawan bilang langgar hukum kalau langgar cuma kasih sanksi ringan"
"Bilangnya mau reformasi, tapi nyatanya masih bobrok juga!","negatif","bilang mau reformasi nyata bobrok"
"Kalau lapor kasus malah disuruh ?amai?aja, jadi buat apa ada polisi?","negatif","kalau lapor kasus malah suruh amai aja jadi buat apa polisi"
"Kenapa setiap ada kasus, pasti ada drama ?ilangnya barang bukti?atau ?ersangka kabur?","negatif","kasus drama ilangnya barang bukti ersangka kabur"
"Susah percaya sama sistem hukum kalau yang jalankan aja nggak bisa bersikap adil!","negatif","susah percaya sama sistem hukum kalau jalan aja sikap adil"
"Makin lama, makin kelihatan kalau hukum di negeri ini cuma buat mereka yang berduit!","negatif","makin lama makin lihat kalau hukum negeri cuma buat duit"
"Apa mereka nggak malu tiap hari ada berita buruk tentang kepolisian?","negatif","apa malu tiap hari berita buruk polisi"
"Sebenarnya tugas mereka apa sih? Karena yang mereka lakukan nggak sesuai sama yang diharapkan rakyat!","negatif","benar tugas apa sih laku suai sama harap rakyat"
"Lihat seragam mereka sekarang malah bikin marah, bukan bangga!","negatif","lihat ragam sekarang malah bikin marah bukan bangga"
"Setiap ada rakyat yang cari keadilan, malah mereka yang ditekan! Gila sih ini!","negatif","rakyat cari adil malah dite gila sih"
"Kalau mau dihormati, kerja yang bener! Jangan cuma modal seragam!","negatif","kalau mau hormat kerja benar jangan cuma modal ragam"
"Gaji dari pajak rakyat, tapi malah ngerugiin rakyat! Ironis banget!","negatif","gaji pajak rakyat malah rugi rakyat ironis banget"
"Nggak ada harapan sama hukum kalau aparatnya masih banyak yang main belakang!","negatif","harap sama hukum kalau aparat banyak main belakang"
"Dunia hukum di sini kayak panggung sandiwara, yang jago akting pasti menang!","negatif","dunia hukum sini kayak panggung sandiwara jago akting menang"
"Kalau rakyat yang salah langsung diadili, tapi kalau mereka sendiri yang salah, prosesnya kayak keong!","negatif","kalau rakyat salah langsung adil kalau sendiri salah proses kayak keong"
"Jangan cuma pencitraan di media, rakyat butuh bukti nyata!","negatif","jangan cuma citra media rakyat butuh bukti nyata"
"Mereka yang harusnya jadi contoh malah jadi yang paling buruk kelakuannya!","negatif","harus jadi contoh malah jadi paling buruk laku"
"Setiap kasus yang nggak kunjung selesai, makin membuktikan kalau sistemnya udah gagal total!","negatif","kasus kunjung selesai makin bukti kalau sistem udah gagal total"
"Kalau ada polisi yang benar-benar jujur, kasihan banget mereka harus kerja di sistem kayak gini!","positif","kalau polisi benar jujur kasihan banget kerja sistem kayak begini"
"saya masih percaya dengan polisi indonesia","positif","percaya polisi indonesia"
"saya yakin masih ada pak polisi yang baik dan jujur","positif","yakin pak polisi baik jujur"
"masyarakat percaya kalian bisa melindungi kami pak","positif","masyarakat percaya kalian lindung pak"
"semangat pak polisi kami percaya dengan kalian bisa melindungi kami","positif","semangat pak polisi percaya kalian lindung"
"lindungi kami selalu pak","positif","lindung selalu pak"
"Marah banget lihat kasus ini nggak kelar-kelar!","negatif","marah banget lihat kasus kelar"
"brengsek hukum di negeri ini Cuma buat yang punya uang","negatif","brengsek hukum negeri cuma buat punya uang"
"kesal lihat oknum bebas tanpa hukuman","negatif","kesal lihat oknum bebas hukum"
"jengkel tiap kali lihat berita tentang mereka","negatif","jengkel tiap kali lihat berita"
"benci banget sama sistem yang tidak adil","negatif","benci banget sama sistem adil"
"muak dengan janji palsu polisi tanpa bukti","negatif","muak janji palsu polisi bukti"
"geram lihat yang salah malah dilindungi","negatif","geram lihat salah malah lindung"
"emosi setiap kali dengan polisi beralasan","negatif","emosi kali polisi alas"
"dendam rasanya kalau polisi tidak adil","negatif","dendam rasa kalau polisi adil"
"makin naik darah lihat kelakuan polisi","negatif","makin naik darah lihat laku polisi"
"marah karena keadilan Cuma ilusi di negeri ini","negatif","marah adil cuma ilusi negeri"
"brengsek rakyat kecil selalu jadi korban","negatif","brengsek rakyat kecil selalu jadi korban"
"kesal lihat kasus yang tiba-tiba hilang","negatif","kesal lihat kasus tiba hilang"
"jengkel banget kalau polisi diam saja","negatif","jengkel banget kalau polisi diam"
"benci banget sama ketidakadilan yang dibiarkan terus terjadi","negatif","benci banget sama tidakadil biar terus jadi"
"geram lihat yang benar malah ditekan","negatif","geram lihat benar malah dite"
"emosi banget kalau kasus besar tiba-tiba senyap","negatif","emosi banget kalau kasus besar tiba senyap"
"dendam rasanya lihat polisi berindak semena-mena","negatif","dendam rasa lihat polisi indak semena pena"
"marah sampai tidak bisa berkata-kata","negatif","marah kata kata"
"kesal lihat rakyat kecil dipersulit","negatif","kesal lihat rakyat kecil sulit"
"brengsek kapan hukum bisa benar-benar adil","negatif","brengsek kapan hukum benar adil"
"benci banget sama sistem hukum yang bobrok","negatif","benci banget sama sistem hukum bobrok"
"muak dengan pencitraan tanpa aksi nyata","negatif","muak citra aksi nyata"
"geram lihat aparat yang hanya memikirkan diri sendiri","negatif","geram lihat aparat pikir diri sendiri"
"emosi tiap kali ada kasus yang tidak pernah tuntas","negatif","emosi tiap kali kasus pernah tuntas"
"dendam dengan ketidakadilan yang terus berulang","negatif","dendam tidakadil terus ulang"
"marah lihat koruptor bisa bebas santai","negatif","marah lihat koruptor bebas santai"
"kesal karena yang salah selalu dilindungi","negatif","kesal salah selalu lindung"
"senang banget lihat polwan","positif","senang banget lihat polw"
"brengsek polisi korup buat rakyat makin sengsara","negatif","brengsek polisi korup buat rakyat makin sengsara"
"kesal karena polisi mengabaikan kejahatan","negatif","kesal polisi abai jahat"
"jengkel lihat polisi yang main kekerasan","negatif","jengkel lihat polisi main keras"
"muak lihat polisi hobi mengintimidasi rakyat biasa","negatif","muak lihat polisi hobi intimidasi rakyat biasa"
"emosi kalau polisi menyalahgunakan senjata dan wewenangnya","negatif","emosi kalau polisi salah guna senjata wenang"
"jengkel lihat polisi lebih sibuk mengejar tilang daripada tangkap koruptor","negatif","jengkel lihat polisi lebih sibuk kejar tilang tangkap koruptor"
"benci banget sama polisi yang menutupi kesalahan","negatif","benci banget sama polisi tutup salah"
"dendam sama polisi tidak pernah jujur","negatif","dendam sama polisi pernah jujur"
"brengsek harus viral dulu baru polisi mau bertindak","negatif","brengsek viral dulu baru polisi mau tindak"
"jengkel setiap melihat polisi pura-pura tidak tahu","negatif","jengkel lihat polisi pura beri"
"benci banget kalau lihat polisi tidak becus bekerja","negatif","benci banget kalau lihat polisi becus kerja"
"muak dengan alasan polisi yang selalu berubah-ubah","negatif","muak alas polisi selalu ubah ubah"
"dendam rasanya lihat polisi bebas dari hukuman meski terbukti bersalah","negatif","dendam rasa lihat polisi bebas hukum meski bukti salah"
"marah lihat polisi melindungi koruptor","negatif","marah lihat polisi lindung koruptor"
"jengkel lihat aturan yang hanya menguntungkan polisi","negatif","jengkel lihat atur untung polisi"
"Tugas polisi bukan hanya menegakkan hukum, tapi juga membangun kepercayaan publik.","netral","tugas polisi bukan tegak hukum bangun percaya publik"
"Evaluasi berkala terhadap kinerja kepolisian bisa jadi langkah perbaikan yang baik.","netral","evaluasi kala kinerja polisi jadi langkah baik baik"
"Pelayanan yang cepat dan transparan adalah kunci kepercayaan masyarakat terhadap kepolisian.","netral","layan cepat transparan kunci percaya masyarakat polisi"
"Tugas kepolisian adalah menegakkan hukum dengan adil tanpa memihak.","netral","tugas polisi tegak hukum adil pihak"
"benci lihat polisi yang selalu melindungi kepentingan pejabat","negatif","benci lihat polisi selalu lindung penting jabat"
"jengkel lihat polisi yang tidak mau dikritik padahal kerjaannya amburadul","negatif","jengkel lihat polisi mau kritik padahal kerja amburadul"
"benci sama polisi yang Cuma modal seragam tapi tidak berintegritas","negatif","benci sama polisi cuma modal ragam integritas"
"dendam sama polisi yang tidak punya hati nurani","negatif","dendam sama polisi punya hati nurani"
"jengkel lihat bukti jelas tapi tetap tidak diproses","negatif","jengkel lihat bukti jelas tetap proses"
"Bangga dengan polisi yang bekerja sepenuh hati!","positif","bangga polisi kerja penuh hati"
"Senang melihat polisi makin profesional!","positif","senang lihat polisi makin profesional"
"Polisi yang jujur bikin hati tenang!","positif","polisi jujur bikin hati tenang"
"Kinerja polisi semakin baik, teruskan!","positif","kinerja polisi makin baik terus"
"Salut untuk polisi yang menjaga keadilan!","positif","salut polisi jaga adil"
"Terima kasih, polisi sudah bertugas dengan baik!","positif","terima kasih polisi tugas baik"
"Senang melihat polisi membantu masyarakat!","positif","senang lihat polisi bantu masyarakat"
"Polisi sigap, rakyat jadi merasa aman!","positif","polisi sigap rakyat jadi rasa aman"
"Polisi yang adil bikin masyarakat bahagia!","positif","polisi adil bikin masyarakat bahagia"
"Bangga dengan polisi yang tegas dan bijak!","positif","bangga polisi tegas bijak"
"Polisi bekerja cepat, keren!","positif","polisi kerja cepat keren"
"Hati senang melihat polisi melayani dengan tulus!","positif","hati senang lihat polisi layan tulus"
"Terima kasih sudah melindungi kami dengan baik!","positif","terima kasih lindung baik"
"Polisi yang ramah bikin nyaman!","positif","polisi ramah bikin nyaman"
"Bahagia melihat polisi menjalankan tugasnya dengan benar!","positif","bahagia lihat polisi jalan tugas benar"
"Salut dengan polisi yang tidak tebang pilih!","positif","salut polisi tebang pilih"
"Senang ada polisi yang sigap dan responsif!","positif","senang polisi sigap responsif"
"Polisi bekerja dengan hati, luar biasa!","positif","polisi kerja hati luar biasa"
"Masyarakat bangga punya polisi yang profesional!","positif","masyarakat bangga punya polisi profesional"
"Aman rasanya karena polisi selalu siap siaga!","positif","aman rasa polisi selalu siap siaga"
"Polisi yang jujur adalah kebanggaan bangsa!","positif","polisi jujur bangga bangsa"
"Senyum polisi di jalan bikin hari lebih cerah!","positif","senyum polisi jalan bikin hari lebih cerah"
"Polisi hadir, kejahatan menurun, hebat!","positif","polisi hadir jahat turun hebat"
"Bahagia melihat polisi menegakkan hukum dengan adil!","positif","bahagia lihat polisi tegak hukum adil"
"Terharu melihat polisi membantu warga kecil!","positif","haru lihat polisi bantu warga kecil"
"Polisi yang disiplin bikin masyarakat kagum!","positif","polisi disiplin bikin masyarakat kagum"
"Kepolisian memiliki peran penting dalam menjaga keamanan di masyarakat.","netral","polisi milik peran penting jaga aman masyarakat"
"Pelayanan yang cepat dan responsif selalu menjadi harapan masyarakat.","netral","layan cepat responsif selalu jadi harap masyarakat"
"Setiap institusi pasti memiliki tantangan dalam menjalankan tugasnya.","netral","institusi milik tantang jalan tugas"
"Evaluasi rutin diperlukan agar kinerja kepolisian semakin optimal.","netral","evaluasi rutin perlu kinerja polisi makin optimal"
"Kepastian hukum bergantung pada penegakan yang transparan dan adil.","netral","pasti hukum gantung tegak transparan adil"
"Setiap laporan masyarakat harus ditindaklanjuti sesuai prosedur yang berlaku.","netral","lapor masyarakat tindaklanjut suai prosedur laku"
"Polisi bekerja berdasarkan hukum dan aturan yang sudah ditetapkan.","netral","polisi kerja dasar hukum atur tetap"
"Pelatihan dan pengembangan terus diperlukan untuk meningkatkan profesionalisme.","netral","latih kembang terus perlu tingkat profesionalisme"
"Koordinasi antarinstansi dapat membantu efektivitas kinerja kepolisian.","netral","koordinasi antarinstansi bantu efektivitas kinerja polisi"
